avg color red,avg color green,avg color blue,entropy of red,entropy of green,entropy of blue,avg entropy,width,height,aspect ratio,area,size,compression ratio,bit depth,total pixels,hue,saturation,value,hue median,saturation median,value median,output
184.3547954,187.1831378,171.9478464,4.725410229,4.802259376,4.770412913,4.766027506,638,854,0.7470726,544852,85458,0.156846263,24,544852,0.39350988,0.241022623,0.773267697,0.495833333,0.182648402,0.858823529,1
188.9098517,187.827511,197.4036683,5.222723301,5.358422576,5.310718851,5.297288243,855,638,1.340125392,545490,108143,0.19824928,24,545490,0.360455534,0.164626865,0.798489094,0.149122807,0.045454545,0.905882353,1
175.2896373,182.1677407,199.4794946,6.444917883,6.761703817,6.724021086,6.643547595,861,638,1.349529781,549318,147657,0.268800585,24,549318,0.301189389,0.198549934,0.795469427,0.096185738,0.0472103,0.929411765,1
131.7138593,145.5042504,154.7752037,6.357281927,6.511471938,6.719621539,6.529458468,857,638,1.343260188,546766,153818,0.281323272,24,546766,0.237638506,0.173877786,0.61134971,0.133333333,0.025751073,0.839215686,1
154.0294929,155.0955397,160.9635063,7.284122637,7.28846246,7.359788041,7.310791046,843,1200,0.7025,1011600,205563,0.203205813,24,1011600,0.264763308,0.110058858,0.639766299,0.071428571,0.058823529,0.674509804,1
202.8536703,204.2766066,212.4480548,5.371078475,5.479800804,5.497386355,5.449421878,635,744,0.853494624,472440,73616,0.155820845,24,472440,0.310993861,0.147871148,0.870205035,0.175675676,0.03187251,0.988235294,1
171.4711167,185.2412127,196.8387283,5.472753129,5.742639221,5.817274996,5.677555782,856,638,1.34169279,546128,106235,0.194523994,24,546128,0.105866986,0.186310217,0.773563269,0.033333333,0.015686275,0.952941176,1
180.5482421,180.1801085,193.1971878,6.364814352,6.847012245,6.857042391,6.689622996,1200,630,1.904761905,756000,179918,0.237986772,24,756000,0.326220361,0.187826639,0.786028473,0.111111111,0.120689655,0.921568627,1
175.4645193,180.7323814,197.3637609,6.310722889,6.769591328,6.779465625,6.619926614,856,638,1.34169279,546128,129607,0.237319822,24,546128,0.336968762,0.18264329,0.784787399,0.045454545,0.058091286,0.921568627,1
175.5218784,176.3927098,184.9747588,4.735145807,4.726609492,4.69005172,4.717269006,1000,510,1.960784314,510000,63707,0.124915686,24,510000,0.127684894,0.106317023,0.727150557,0,0,0.976470588,1
